sog,ship_heading,wind_speed,wind_direction,air_temperature,air_pressure,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
10.6,0.0,16.13953269,151.634435,9.86,1025.306667,11.49,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,135.72900244160982,0.0
10.74,0.0,16.13953269,151.634435,9.86,1025.306667,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,135.422626788222,0.0
10.77,0.0,16.13953269,151.634435,9.86,1025.306667,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,135.35653876750325,0.0
11.1,347.95,16.13953269,151.634435,9.86,1025.306667,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,152.88465133188257,0.0
11.37,336.88,16.13953269,151.634435,9.86,1025.306667,11.5,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.96101798757283,0.0
11.72,335.32,16.13953269,151.634435,9.86,1025.306667,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,173.49624686879156,0.0
12.03,335.92,16.13953269,151.634435,9.86,1025.306667,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.2855472916872,0.0
12.1,338.39,16.13953269,151.634435,9.86,1025.306667,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,167.81804442386422,0.0
12.1,336.91,16.13953269,151.634435,9.86,1025.306667,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.46881153004358,0.0
12.17,338.41,16.13953269,151.634435,9.86,1025.306667,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,167.7256845074006,0.0
12.2,339.09,16.13953269,151.634435,9.86,1025.306667,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,166.48111041465765,0.0
12.2,339.1,16.13953269,151.634435,9.86,1025.306667,11.53,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,166.46319599250378,0.0
12.29,337.77,16.38913246,155.1340477,9.673333333,1024.16,11.53,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,175.1655471782714,0.0
12.2,335.97,16.38913246,155.1340477,9.673333333,1024.16,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,178.4750699945354,0.0
12.21,337.78,16.38913246,155.1340477,9.673333333,1024.16,11.53,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,175.17341117951014,0.0
12.2,336.14,16.38913246,155.1340477,9.673333333,1024.16,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,178.16502254399708,0.0
12.2,335.11,16.38913246,155.1340477,9.673333333,1024.16,11.53,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,-179.9561291987582,0.0
12.48,336.15,16.38913246,155.1340477,9.673333333,1024.16,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,178.1110637817382,0.0
12.56,336.27,16.38913246,155.1340477,9.673333333,1024.16,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,177.87632091583131,0.0
12.43,337.7,16.38913246,155.1340477,9.673333333,1024.16,11.55,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,175.24863752961346,0.0
12.31,336.99,16.38913246,155.1340477,9.673333333,1024.16,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,176.5901238163787,0.0
12.25,337.83,16.38913246,155.1340477,9.673333333,1024.16,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,175.06905233889628,0.0
12.2,339.17,16.38913246,155.1340477,9.673333333,1024.16,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.65034589787248,0.0
12.14,337.01,16.38913246,155.1340477,9.673333333,1024.16,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,176.5927820566302,0.0
12.0,336.05,15.85059297,148.9651465,9.9,1022.5,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,167.31393211354577,0.0
11.87,336.27,15.85059297,148.9651465,9.9,1022.5,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,167.03440665724136,0.0
11.7,334.16,15.85059297,148.9651465,9.9,1022.5,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.85673580310936,0.0
11.68,333.05,15.85059297,148.9651465,9.9,1022.5,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.81253433577217,0.0
11.55,335.48,15.85059297,148.9651465,9.9,1022.5,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,168.6600936989024,0.0
11.5,334.42,15.85059297,148.9651465,9.9,1022.5,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.5242542606895,0.0
11.5,334.43,15.85059297,148.9651465,9.9,1022.5,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.50697885930015,0.0
11.42,333.43,15.85059297,148.9651465,9.9,1022.5,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.27653460489125,0.0
11.24,335.51,15.85059297,148.9651465,9.9,1022.5,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,168.82914135473638,0.0
11.06,332.14,15.85059297,148.9651465,9.9,1022.5,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,174.62681697258463,0.0
10.97,334.66,15.85059297,148.9651465,9.9,1022.5,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,170.43333519446506,0.0
10.82,333.92,15.85059297,148.9651465,9.9,1022.5,11.56,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,171.74772608411476,0.0
10.65,333.76,14.10429899,141.0433954,9.553333333,1022.2,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,159.25019669165133,0.0
10.54,334.23,14.10429899,141.0433954,9.553333333,1022.2,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,158.638720819815,0.0
