sog,vessel_id,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel
8.9,1004,343.06,15.415782967552278,123.80227846360845,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.9,1004,342.31,15.415782967552278,123.80227846360845,11.575,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
8.91,1004,339.88,15.415782967552278,123.80227846360845,11.57,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16.7,1004,0,15.66577596151289,129.14834614086445,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
15.51,1004,343.66,15.66577596151289,129.14834614086445,11.71,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
15.73,1004,341.77,15.66577596151289,129.14834614086445,11.705,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
15.95,1004,341.78,15.66577596151289,129.14834614086445,11.685,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
16,1004,341.79,14.389698691332049,130.3136232550384,11.635000000000002,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.36,1004,341.19,14.389698691332049,130.3136232550384,11.47,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.19,1004,343.16,14.389698691332049,130.3136232550384,11.445,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.24,1004,343.16,14.389698691332049,130.3136232550384,11.435,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.3,1004,344.5,14.389698691332049,130.3136232550384,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.39,1004,345.1,14.389698691332049,130.3136232550384,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.5,1004,343.77,14.389698691332049,130.3136232550384,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.74,1004,342.27,14.389698691332049,130.3136232550384,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.9,1004,341.61,14.389698691332049,130.3136232550384,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.83,1004,341.99,14.389698691332049,130.3136232550384,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.94,1004,339.03,14.389698691332049,130.3136232550384,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
